cluster_id,original_label,LATITUDE,LONGITUDE,INSPECTION_YEAR,INSPECTION_DATE,SPECIES,LANDOWNER_TYPE
69,80,30.346323,-97.757655,2017,2017-05-30,Live Oak,Private
69,80,30.346553,-97.757604,2017,2017-05-30,Live Oak,Private
69,80,30.346199,-97.757926,2017,2017-05-30,Live Oak,Private
69,80,30.346514,-97.758146,2017,2017-05-30,Live Oak,Private
69,80,30.345754,-97.75749,2017,2017-05-30,Live Oak,Private
69,80,30.34606,-97.757328,2017,2017-05-30,Live Oak,Private
69,80,30.347117,-97.758041,2017,2017-05-30,Live Oak,Private
69,80,30.347049,-97.758321,2017,2017-05-30,Live Oak,Private
69,80,30.347052,-97.758352,2018,2018-06-13,Live Oak,Private
69,80,30.34682,-97.758631,2018,2018-06-13,Live Oak,Private
69,80,30.346887,-97.757903,2018,2018-06-13,Live Oak,Private
69,80,30.347457,-97.758375,2018,2018-06-13,Live Oak,Private
70,82,30.452338,-97.80272,2016,2016-05-10,Live Oak,Unknown
70,82,30.452065,-97.802782,2017,2017-06-12,Live Oak,Private
70,82,30.452048,-97.802806,2017,2017-10-04,Live Oak,Private
72,84,30.229404,-97.848581,2016,2016-07-12,Live Oak,Unknown
72,84,30.229068,-97.84847,2016,2016-07-14,Live Oak,Private
72,84,30.229063,-97.848462,2016,2016-07-14,Live Oak,Private
